,Pais,Ano,Consumo de energia per capita (kWh)
0,Brasil,1965,3229.9909230145613
1,Brasil,1966,3428.116542662964
2,Brasil,1967,3457.0895855815124
3,Brasil,1968,3850.237261479394
4,Brasil,1969,4096.666329025436
5,Brasil,1970,4631.385558503254
6,Brasil,1971,4941.774706607758
7,Brasil,1972,5557.506490551118
8,Brasil,1973,6470.509109227315
9,Brasil,1974,6903.304187471895
10,Brasil,1975,7122.818180114219
11,Brasil,1976,7638.973973344737
12,Brasil,1977,7972.207539028937
13,Brasil,1978,8580.407961620434
14,Brasil,1979,9072.15175598217
15,Brasil,1980,9040.110555823325
16,Brasil,1981,8608.064609014584
17,Brasil,1982,8825.891896831763
18,Brasil,1983,8795.297695531213
19,Brasil,1984,9233.725927567184
20,Brasil,1985,9622.3620264643
21,Brasil,1986,10049.22693615935
22,Brasil,1987,10145.160415597878
23,Brasil,1988,10331.983381465883
24,Brasil,1989,10345.44907829531
25,Brasil,1990,9992.176578382205
26,Brasil,1991,10194.868100188794
27,Brasil,1992,10490.578375175495
28,Brasil,1993,10778.519503799542
29,Brasil,1994,11143.618027485516
30,Brasil,1995,11513.806384569129
31,Brasil,1996,11965.592325136942
32,Brasil,1997,12452.92876396132
33,Brasil,1998,12711.710357338026
34,Brasil,1999,12748.906694750587
35,Brasil,2000,12780.445592822209
36,Brasil,2001,12359.50393655797
37,Brasil,2002,12486.083579284175
38,Brasil,2003,12548.228606150802
39,Brasil,2004,13004.357325437812
40,Brasil,2005,13219.786238660154
41,Brasil,2006,13402.93109654865
42,Brasil,2007,14076.063944093958
43,Brasil,2008,14551.580811581733
44,Brasil,2009,14296.021015804889
45,Brasil,2010,15585.780760896005
46,Brasil,2011,16148.862535161075
47,Brasil,2012,16291.788868156023
48,Brasil,2013,16761.083814156867
49,Brasil,2014,16989.47730033803
50,Brasil,2015,16619.270373799445
51,Brasil,2016,16058.664317832328
52,Brasil,2017,16123.592828572804
53,Brasil,2018,16091.378505333145
54,Brasil,2019,16325.047069872164
55,China,1965,2115.707306346632
56,China,1966,2243.057532886783
57,China,1967,1963.851616939967
58,China,1968,1929.1502381506289
59,China,1969,2284.182778988264
60,China,1970,2848.4650165484254
61,China,1971,3292.9400535130544
62,China,1972,3465.189452174237
63,China,1973,3575.435055808564
64,China,1974,3609.714527416013
65,China,1975,3965.0899185762473
66,China,1976,4102.016714322742
67,China,1977,4402.262751028121
68,China,1978,4756.496725065202
69,China,1979,4830.111906988863
70,China,1980,4855.859866406314
71,China,1981,4724.738118187564
72,China,1982,4866.685335971963
73,China,1983,5107.318950835762
74,China,1984,5398.457757044935
75,China,1985,5744.273995053754
76,China,1986,5913.459132408165
77,China,1987,6256.762173772979
78,China,1988,6592.810141805232
79,China,1989,6794.681253320273
80,China,1990,6774.270770022539
81,China,1991,7021.383525335847
82,China,1992,7309.315194060676
83,China,1993,7792.128108789101
84,China,1994,8195.959496139529
85,China,1995,8373.590100002744
86,China,1996,8734.281505860641
87,China,1997,8712.99260898185
88,China,1998,8656.426162512187
89,China,1999,8893.21290221867
90,China,2000,9137.611692540857
91,China,2001,9588.04332853794
92,China,2002,10378.1970082675
93,China,2003,12011.43318655096
94,China,2004,13971.08662918731
95,China,2005,15780.63746171766
96,China,2006,17201.311134135118
97,China,2007,18591.77276362748
98,China,2008,19176.67754020637
99,China,2009,19901.852278159826
100,China,2010,21162.747413167504
101,China,2011,22710.791848473
102,China,2012,23488.28455829065
103,China,2013,24222.73226311863
104,China,2014,24652.081875071373
105,China,2015,24755.298310184757
106,China,2016,24938.401122103107
107,China,2017,25574.67694313029
108,China,2018,26416.954770005075
109,China,2019,27452.47793296997
110,Estados Unidos,1965,72921.75957500708
111,Estados Unidos,1966,76198.58506143758
112,Estados Unidos,1967,78075.3343986309
113,Estados Unidos,1968,82061.02254236651
114,Estados Unidos,1969,85676.86699267666
115,Estados Unidos,1970,87790.31367553322
116,Estados Unidos,1971,88822.02492929522
117,Estados Unidos,1972,92559.23252145712
118,Estados Unidos,1973,95508.25105979298
119,Estados Unidos,1974,92271.89051031158
120,Estados Unidos,1975,89213.15360607825
121,Estados Unidos,1976,93218.87588111902
122,Estados Unidos,1977,94790.4641555256
123,Estados Unidos,1978,94337.52386441604
124,Estados Unidos,1979,94561.69185121736
125,Estados Unidos,1980,90281.74536327017
126,Estados Unidos,1981,86816.51311668067
127,Estados Unidos,1982,82419.86715690278
128,Estados Unidos,1983,81287.49624160829
129,Estados Unidos,1984,84811.16880820865
130,Estados Unidos,1985,83811.70203429298
131,Estados Unidos,1986,83534.47727929612
132,Estados Unidos,1987,85554.19383653591
133,Estados Unidos,1988,88631.86911263708
134,Estados Unidos,1989,89887.67533454706
135,Estados Unidos,1990,89235.91226911765
136,Estados Unidos,1991,88264.18121690363
137,Estados Unidos,1992,88732.20150401769
138,Estados Unidos,1993,89697.59438207473
139,Estados Unidos,1994,90423.5270407316
140,Estados Unidos,1995,91348.35587091076
141,Estados Unidos,1996,93299.17079705032
142,Estados Unidos,1997,92838.946258554
143,Estados Unidos,1998,92273.42891849668
144,Estados Unidos,1999,92769.66648024262
145,Estados Unidos,2000,93810.54558798228
146,Estados Unidos,2001,90665.24955730527
147,Estados Unidos,2002,91122.30687366244
148,Estados Unidos,2003,90608.35998628497
149,Estados Unidos,2004,91590.31226265096
150,Estados Unidos,2005,90809.18804041618
151,Estados Unidos,2006,89239.24328306488
152,Estados Unidos,2007,89629.95653546405
153,Estados Unidos,2008,86587.17407717521
154,Estados Unidos,2009,81548.3560929362
155,Estados Unidos,2010,83575.46852979485
156,Estados Unidos,2011,82097.03000607785
157,Estados Unidos,2012,79330.565126235
158,Estados Unidos,2013,80853.40735417177
159,Estados Unidos,2014,81112.61800181952
160,Estados Unidos,2015,79771.64184792025
161,Estados Unidos,2016,79130.81757752558
162,Estados Unidos,2017,78894.4096557472
163,Estados Unidos,2018,81188.3594931145
164,Estados Unidos,2019,79897.15140716982
